seqn,household_income,gender,age,education_level,household_size
73624,"15,000 to 19,999",Female,31,Some College or AA degree,6
73626,"15,000 to 19,999",Female,72,<9th Grade,4
73628,"35,000 to 44,999",Male,80,Some College or AA degree,1
73629,"75,000 to 99,999",Female,26,Some College or AA degree,5
73631," 5,000 to  9,999",Female,56,9th-11th Grade,1
73632,"35,000 to 44,999",Male,23,High School Grad/GED or equivalent,2
73633,"75,000 to 99,999",Female,43,College Graduate or above,4
73634,"25,000 to 34,999",Male,65,High School Grad/GED or equivalent,3
73638,"25,000 to 34,999",Female,63,Some College or AA degree,1
73639,"35,000 to 44,999",Male,71,9th-11th Grade,5
73640,"25,000 to 34,999",Female,67,Some College or AA degree,1
73641," 5,000 to  9,999",Female,64,Some College or AA degree,1
73642,"45,000 to 54,999",Female,57,<9th Grade,3
73643,,Male,62,Some College or AA degree,2
73645,"100,000 and Over",Female,54,Some College or AA degree,6
73647,"65,000 to 74,999",Female,61,9th-11th Grade,3
73652,"55,000 to 64,999",Female,54,High School Grad/GED or equivalent,2
73654,"15,000 to 19,999",Male,46,Some College or AA degree,3
73655,"45,000 to 54,999",Male,44,High School Grad/GED or equivalent,5
73656,"100,000 and Over",Male,54,College Graduate or above,4
73657,"35,000 to 44,999",Female,19,High School Grad/GED or equivalent,5
73658,"100,000 and Over",Male,35,College Graduate or above,3
73659,"25,000 to 34,999",Female,70,Some College or AA degree,2
73660,"35,000 to 44,999",Male,59,College Graduate or above,3
73661,"35,000 to 44,999",Male,25,College Graduate or above,3
73662,"10,000 to 14,999",Male,39,High School Grad/GED or equivalent,4
73663,"100,000 and Over",Male,25,College Graduate or above,2
73665,,Male,59,<9th Grade,2
73666,"55,000 to 64,999",Male,70,College Graduate or above,2
73667,"15,000 to 19,999",Male,24,9th-11th Grade,5
73668,"45,000 to 54,999",Female,30,Some College or AA degree,7
73670,"10,000 to 14,999",Female,71,<9th Grade,1
73671,"10,000 to 14,999",Male,49,9th-11th Grade,1
73672,"75,000 to 99,999",Male,73,Some College or AA degree,2
73673,"100,000 and Over",Male,45,College Graduate or above,4
73674,"20,000 and Over",Female,45,College Graduate or above,5
73675,"15,000 to 19,999",Male,29,High School Grad/GED or equivalent,3
73676,"65,000 to 74,999",Male,44,College Graduate or above,4
73677,"100,000 and Over",Female,61,College Graduate or above,2
73678,"25,000 to 34,999",Male,51,9th-11th Grade,5
73684,"100,000 and Over",Male,64,College Graduate or above,2
73688,"65,000 to 74,999",Male,58,College Graduate or above,2
73689,"100,000 and Over",Male,54,College Graduate or above,3
73690,"45,000 to 54,999",Female,77,9th-11th Grade,2
73692,"25,000 to 34,999",Male,65,Some College or AA degree,2
73693," 5,000 to  9,999",Female,78,9th-11th Grade,1
73694,"65,000 to 74,999",Female,66,Some College or AA degree,2
73695,"55,000 to 64,999",Female,79,Some College or AA degree,2
73697,"45,000 to 54,999",Female,57,High School Grad/GED or equivalent,2
73698,"55,000 to 64,999",Male,23,Some College or AA degree,2
73699,,Male,20,,2
73701,"100,000 and Over",Male,47,College Graduate or above,4
73702,"55,000 to 64,999",Female,48,Some College or AA degree,2
73703,Refused,Female,38,College Graduate or above,4
73706,"25,000 to 34,999",Male,54,Some College or AA degree,4
73707,Refused,Male,45,High School Grad/GED or equivalent,2
73708,"100,000 and Over",Male,69,College Graduate or above,4
73709,"25,000 to 34,999",Male,64,Some College or AA degree,2
73712,"100,000 and Over",Male,18,College Graduate or above,4
73714,"100,000 and Over",Female,29,College Graduate or above,3
73715,"55,000 to 64,999",Female,38,Some College or AA degree,3
73716,"45,000 to 54,999",Male,25,College Graduate or above,1
73717,"35,000 to 44,999",Male,78,Don't know,3
73718,"20,000 to 24,999",Male,53,Some College or AA degree,3
73720,"55,000 to 64,999",Male,48,College Graduate or above,3
73721,"25,000 to 34,999",Female,80,High School Grad/GED or equivalent,1
73722,"35,000 to 44,999",Female,80,Some College or AA degree,1
73723,"100,000 and Over",Male,77,Some College or AA degree,2
73724,,Male,26,Some College or AA degree,2
73725,"45,000 to 54,999",Female,80,Some College or AA degree,2
73726,"45,000 to 54,999",Female,67,High School Grad/GED or equivalent,7
73729,"55,000 to 64,999",Male,46,Some College or AA degree,4
73730,"25,000 to 34,999",Male,48,9th-11th Grade,3
73732,"45,000 to 54,999",Male,80,High School Grad/GED or equivalent,2
73733,"20,000 and Over",Female,23,9th-11th Grade,5
73735,,Female,29,<9th Grade,3
73736,Refused,Male,55,College Graduate or above,3
73737,"65,000 to 74,999",Female,30,College Graduate or above,6
73738,"100,000 and Over",Male,29,College Graduate or above,4
73739,"25,000 to 34,999",Female,46,Some College or AA degree,3
73740,"55,000 to 64,999",Female,57,,4
73741,"20,000 and Over",Female,47,9th-11th Grade,5
73746,"10,000 to 14,999",Female,64,Some College or AA degree,1
73747,"75,000 to 99,999",Female,80,9th-11th Grade,2
73749,Refused,Male,29,College Graduate or above,2
73751,"10,000 to 14,999",Female,61,High School Grad/GED or equivalent,2
73755,"35,000 to 44,999",Male,75,,2
73756,Refused,Male,56,Some College or AA degree,4
73757,"75,000 to 99,999",Female,29,College Graduate or above,2
73760,"20,000 to 24,999",Male,64,High School Grad/GED or equivalent,2
73763,,Female,31,Some College or AA degree,6
73765,"10,000 to 14,999",Male,54,Some College or AA degree,3
73766,"20,000 to 24,999",Female,75,Some College or AA degree,1
73767,"100,000 and Over",Female,35,College Graduate or above,4
73769,Refused,Male,42,College Graduate or above,1
73770,"75,000 to 99,999",Female,50,College Graduate or above,2
73772,"100,000 and Over",Female,21,High School Grad/GED or equivalent,4
73773,"100,000 and Over",Female,39,College Graduate or above,5
73774,Don't know,Female,80,Some College or AA degree,2
73776,"20,000 to 24,999",Female,19,<9th Grade,7
73778,"20,000 to 24,999",Male,62,Some College or AA degree,1
73779,,Male,62,High School Grad/GED or equivalent,1
73780,Refused,Male,78,College Graduate or above,2
73781,Refused,Female,48,Some College or AA degree,3
73782,"20,000 to 24,999",Male,68,High School Grad/GED or equivalent,2
73783,"100,000 and Over",Male,26,College Graduate or above,4
73785,"100,000 and Over",Male,46,College Graduate or above,3
73786,"20,000 to 24,999",Female,18,9th-11th Grade,4
73787,"55,000 to 64,999",Male,71,<9th Grade,3
73790,"35,000 to 44,999",Male,59,College Graduate or above,1
73792,"100,000 and Over",Female,68,College Graduate or above,2
73795,"100,000 and Over",Male,59,High School Grad/GED or equivalent,2
73797,"15,000 to 19,999",Female,57,Some College or AA degree,3
73800,"15,000 to 19,999",Female,54,High School Grad/GED or equivalent,1
73801,"100,000 and Over",Female,46,High School Grad/GED or equivalent,4
73802,,Female,18,High School Grad/GED or equivalent,2
73804,"20,000 to 24,999",Male,55,<9th Grade,5
73805," 5,000 to  9,999",Female,30,9th-11th Grade,2
73806,"75,000 to 99,999",Male,63,High School Grad/GED or equivalent,2
73807,"100,000 and Over",Female,50,High School Grad/GED or equivalent,2
73808,"35,000 to 44,999",Female,53,High School Grad/GED or equivalent,2
73809,"25,000 to 34,999",Female,52,Some College or AA degree,3
73810,"75,000 to 99,999",Male,48,Some College or AA degree,7
73811,"20,000 to 24,999",Male,64,College Graduate or above,2
73813,"75,000 to 99,999",Female,34,Some College or AA degree,7
73815,"45,000 to 54,999",Female,72,,2
73816,"25,000 to 34,999",Male,64,High School Grad/GED or equivalent,3
73820,"55,000 to 64,999",Male,56,Some College or AA degree,3
73821,"100,000 and Over",Female,56,High School Grad/GED or equivalent,2
73823,"25,000 to 34,999",Male,35,College Graduate or above,2
73825,"100,000 and Over",Female,64,College Graduate or above,2
73830,"100,000 and Over",Male,64,High School Grad/GED or equivalent,3
73831,"25,000 to 34,999",Female,48,High School Grad/GED or equivalent,4
73832,"65,000 to 74,999",Male,77,Some College or AA degree,2
73833,"100,000 and Over",Female,34,College Graduate or above,3
73834,,Male,64,College Graduate or above,1
73837,"55,000 to 64,999",Male,29,High School Grad/GED or equivalent,3
73839,"55,000 to 64,999",Male,68,Some College or AA degree,4
73840,"20,000 to 24,999",Female,77,College Graduate or above,1
73842,"10,000 to 14,999",Male,53,<9th Grade,1
73843,"35,000 to 44,999",Male,42,High School Grad/GED or equivalent,6
73845,"15,000 to 19,999",Female,70,High School Grad/GED or equivalent,1
73846,"35,000 to 44,999",Female,24,Some College or AA degree,5
73847,"35,000 to 44,999",Male,34,High School Grad/GED or equivalent,6
73848,"10,000 to 14,999",Female,65,College Graduate or above,1
73850,"20,000 to 24,999",Male,30,High School Grad/GED or equivalent,7
73851,"100,000 and Over",Female,48,College Graduate or above,3
73852,"45,000 to 54,999",Female,40,<9th Grade,5
73855," 5,000 to  9,999",Female,38,Some College or AA degree,3
73857,"35,000 to 44,999",Male,23,<9th Grade,6
73858,"15,000 to 19,999",Male,52,High School Grad/GED or equivalent,2
73859,"55,000 to 64,999",Male,38,High School Grad/GED or equivalent,2
73860,"25,000 to 34,999",Male,53,9th-11th Grade,1
73861,"100,000 and Over",Male,77,College Graduate or above,2
73862,"25,000 to 34,999",Female,61,College Graduate or above,3
73863,"45,000 to 54,999",Male,26,College Graduate or above,1
73864,"20,000 to 24,999",Female,62,College Graduate or above,3
73865,"25,000 to 34,999",Male,48,High School Grad/GED or equivalent,5
73866,"100,000 and Over",Female,47,Some College or AA degree,4
73867,"100,000 and Over",Female,80,College Graduate or above,2
73868,"20,000 to 24,999",Male,32,College Graduate or above,3
73870,"100,000 and Over",Male,38,College Graduate or above,2
73871,"55,000 to 64,999",Female,28,Some College or AA degree,4
73872,Refused,Female,63,9th-11th Grade,7
73873,"35,000 to 44,999",Male,80,High School Grad/GED or equivalent,2
73875,"45,000 to 54,999",Male,43,College Graduate or above,5
73878,"35,000 to 44,999",Female,45,9th-11th Grade,2
73879,"35,000 to 44,999",Female,58,,4
73880,"65,000 to 74,999",Female,50,Some College or AA degree,6
73881,"35,000 to 44,999",Male,38,,3
73882,"10,000 to 14,999",Female,25,College Graduate or above,2
73883," 5,000 to  9,999",Male,67,<9th Grade,6
73884,"75,000 to 99,999",Male,43,College Graduate or above,4
73886,"100,000 and Over",Female,64,College Graduate or above,2
73888,"100,000 and Over",Male,56,College Graduate or above,4
73896,"20,000 and Over",Female,19,<9th Grade,6
73899,"100,000 and Over",Male,57,College Graduate or above,4
73900,"100,000 and Over",Male,66,College Graduate or above,2
73901,"100,000 and Over",Male,54,Some College or AA degree,1
73902,"100,000 and Over",Female,28,College Graduate or above,2
73906,"10,000 to 14,999",Female,34,<9th Grade,5
73908,"45,000 to 54,999",Male,67,High School Grad/GED or equivalent,2
73910,"100,000 and Over",Male,51,College Graduate or above,2
73913,"20,000 and Over",Male,26,College Graduate or above,5
73914,"20,000 and Over",Female,52,Some College or AA degree,1
73916,"15,000 to 19,999",Male,27,Some College or AA degree,2
73918,"25,000 to 34,999",Male,32,9th-11th Grade,3
73919,,Male,61,Some College or AA degree,2
73920,"35,000 to 44,999",Male,18,<9th Grade,4
73921,"10,000 to 14,999",Female,80,College Graduate or above,1
73922,"20,000 to 24,999",Female,75,High School Grad/GED or equivalent,2
73924,Refused,Female,39,High School Grad/GED or equivalent,4
73925,"10,000 to 14,999",Male,60,9th-11th Grade,2
73926,"65,000 to 74,999",Male,64,<9th Grade,3
73928,"20,000 and Over",Male,23,College Graduate or above,3
73930,"100,000 and Over",Female,70,Some College or AA degree,2
73931,"20,000 to 24,999",Female,37,9th-11th Grade,7
73932,"10,000 to 14,999",Male,30,High School Grad/GED or equivalent,3
73934,"45,000 to 54,999",Male,31,Some College or AA degree,6
73935,Refused,Male,63,Some College or AA degree,2
73937,"20,000 to 24,999",Female,41,9th-11th Grade,5
73938,"100,000 and Over",Female,53,Some College or AA degree,2
73941,"45,000 to 54,999",Male,28,High School Grad/GED or equivalent,3
73943,"55,000 to 64,999",Male,19,High School Grad/GED or equivalent,5
73945,"20,000 to 24,999",Male,66,Some College or AA degree,1
73949,"20,000 to 24,999",Male,48,High School Grad/GED or equivalent,5
73952,,Male,42,Some College or AA degree,1
73954,"100,000 and Over",Female,45,,4
73955,"100,000 and Over",Female,31,Some College or AA degree,3
73957,"100,000 and Over",Female,26,,7
73962,"55,000 to 64,999",Male,49,High School Grad/GED or equivalent,7
73964,"55,000 to 64,999",Male,45,College Graduate or above,1
73973,"45,000 to 54,999",Female,75,Some College or AA degree,1
73974,"75,000 to 99,999",Male,34,High School Grad/GED or equivalent,5
73975,"15,000 to 19,999",Female,64,Some College or AA degree,2
73977,"100,000 and Over",Male,30,College Graduate or above,3
73979,"100,000 and Over",Female,61,High School Grad/GED or equivalent,2
73980,"20,000 and Over",Male,43,High School Grad/GED or equivalent,7
73981,"35,000 to 44,999",Female,36,College Graduate or above,5
73983,,Female,18,High School Grad/GED or equivalent,2
73985,"55,000 to 64,999",Female,43,9th-11th Grade,3
73987,"15,000 to 19,999",Male,56,Some College or AA degree,2
73990,"100,000 and Over",Female,50,College Graduate or above,3
73992,Don't know,Male,20,Some College or AA degree,2
73993,"10,000 to 14,999",Male,57,Some College or AA degree,2
73994,"65,000 to 74,999",Male,36,High School Grad/GED or equivalent,6
73995,"55,000 to 64,999",Female,40,College Graduate or above,3
73998,"35,000 to 44,999",Female,32,High School Grad/GED or equivalent,4
73999,"100,000 and Over",Male,66,College Graduate or above,2
74001,"20,000 to 24,999",Male,48,Some College or AA degree,5
74002,"75,000 to 99,999",Male,63,College Graduate or above,3
74003,"15,000 to 19,999",Female,68,High School Grad/GED or equivalent,3
74004,"55,000 to 64,999",Female,31,College Graduate or above,5
74005,"10,000 to 14,999",Male,23,Some College or AA degree,1
74006,"25,000 to 34,999",Female,34,9th-11th Grade,2
74007,"35,000 to 44,999",Female,71,Some College or AA degree,2
74008,"45,000 to 54,999",Female,49,Some College or AA degree,2
74010,"45,000 to 54,999",Male,40,High School Grad/GED or equivalent,5
74011,"100,000 and Over",Male,55,College Graduate or above,2
74012,"35,000 to 44,999",Female,68,High School Grad/GED or equivalent,5
74013,"100,000 and Over",Female,56,High School Grad/GED or equivalent,2
74014,Don't know,Male,60,<9th Grade,2
74016,"75,000 to 99,999",Male,49,College Graduate or above,4
74017,"100,000 and Over",Female,18,High School Grad/GED or equivalent,7
74018," 5,000 to  9,999",Male,22,Some College or AA degree,3
74022,"10,000 to 14,999",Female,66,<9th Grade,7
74023,"55,000 to 64,999",Male,19,College Graduate or above,2
74025,"45,000 to 54,999",Male,45,College Graduate or above,3
74027,"65,000 to 74,999",Male,42,9th-11th Grade,6
74028,"25,000 to 34,999",Female,57,High School Grad/GED or equivalent,4
74029,"35,000 to 44,999",Male,22,Some College or AA degree,1
74031,"45,000 to 54,999",Female,19,Some College or AA degree,4
74032,"100,000 and Over",Female,47,College Graduate or above,4
74033,"65,000 to 74,999",Male,80,College Graduate or above,1
74036,"20,000 and Over",Male,43,Some College or AA degree,3
74037,"20,000 to 24,999",Male,20,9th-11th Grade,5
74038,,Female,54,9th-11th Grade,2
74041,,Male,60,High School Grad/GED or equivalent,3
74042,"20,000 to 24,999",Female,41,College Graduate or above,4
74044,"10,000 to 14,999",Male,73,High School Grad/GED or equivalent,1
74045,"45,000 to 54,999",Male,38,<9th Grade,2
74046,"100,000 and Over",Female,41,College Graduate or above,4
74047,"20,000 to 24,999",Female,40,9th-11th Grade,6
74048,"25,000 to 34,999",Male,80,High School Grad/GED or equivalent,2
74049,"35,000 to 44,999",Female,62,College Graduate or above,2
74050,"25,000 to 34,999",Female,44,Some College or AA degree,4
74051,"100,000 and Over",Female,20,Some College or AA degree,4
74052,,Female,19,High School Grad/GED or equivalent,3
74054,"65,000 to 74,999",Female,40,High School Grad/GED or equivalent,3
74055,"45,000 to 54,999",Male,57,Some College or AA degree,3
74056,"20,000 to 24,999",Male,38,9th-11th Grade,7
74057,"25,000 to 34,999",Female,63,9th-11th Grade,2
74058,"25,000 to 34,999",Female,60,9th-11th Grade,5
74059,"100,000 and Over",Male,57,College Graduate or above,2
74062,"15,000 to 19,999",Female,67,Some College or AA degree,3
74063,"100,000 and Over",Male,49,College Graduate or above,5
74065,"45,000 to 54,999",Female,71,College Graduate or above,1
74066,"15,000 to 19,999",Male,56,High School Grad/GED or equivalent,6
74070,"100,000 and Over",Female,59,College Graduate or above,3
74072,"15,000 to 19,999",Male,63,Some College or AA degree,1
74075," 5,000 to  9,999",Male,59,9th-11th Grade,1
74077,"55,000 to 64,999",Male,26,9th-11th Grade,5
74078,"75,000 to 99,999",Male,63,Some College or AA degree,2
74081,"20,000 to 24,999",Male,80,High School Grad/GED or equivalent,2
74083,"25,000 to 34,999",Female,67,Some College or AA degree,1
74085,"15,000 to 19,999",Female,80,Some College or AA degree,2
74087,"100,000 and Over",Female,59,<9th Grade,7
74090,"25,000 to 34,999",Female,80,College Graduate or above,1
74091,"65,000 to 74,999",Female,19,High School Grad/GED or equivalent,5
74096," 5,000 to  9,999",Male,53,9th-11th Grade,2
74097,"100,000 and Over",Female,40,Some College or AA degree,6
74099,"20,000 to 24,999",Male,44,High School Grad/GED or equivalent,5
74100,"15,000 to 19,999",Male,69,<9th Grade,1
74101,"20,000 to 24,999",Female,34,High School Grad/GED or equivalent,5
74102,"35,000 to 44,999",Female,18,Some College or AA degree,4
74109,"35,000 to 44,999",Female,59,High School Grad/GED or equivalent,3
74110,"25,000 to 34,999",Male,60,High School Grad/GED or equivalent,4
74111,"100,000 and Over",Female,61,College Graduate or above,5
74112,"15,000 to 19,999",Female,28,Some College or AA degree,6
74115,"15,000 to 19,999",Male,27,<9th Grade,5
74116,"45,000 to 54,999",Male,25,Some College or AA degree,6
74118,"75,000 to 99,999",Female,35,High School Grad/GED or equivalent,5
74119,"35,000 to 44,999",Female,32,<9th Grade,5
74120,"20,000 to 24,999",Male,80,Some College or AA degree,2
74122,"25,000 to 34,999",Female,71,Some College or AA degree,1
74123,"10,000 to 14,999",Female,21,Some College or AA degree,2
74124,"20,000 to 24,999",Female,28,Some College or AA degree,2
74125,"20,000 and Over",Female,39,High School Grad/GED or equivalent,5
74126,"45,000 to 54,999",Female,53,Some College or AA degree,1
74127,"20,000 to 24,999",Female,33,<9th Grade,7
74128,"35,000 to 44,999",Female,71,High School Grad/GED or equivalent,5
74129,"45,000 to 54,999",Male,56,<9th Grade,7
74131,"65,000 to 74,999",Female,24,College Graduate or above,3
74132,"65,000 to 74,999",Female,62,9th-11th Grade,3
74134,"55,000 to 64,999",Female,51,College Graduate or above,3
74138,"25,000 to 34,999",Male,69,Some College or AA degree,3
74139,,Female,63,Some College or AA degree,2
74141,"55,000 to 64,999",Female,71,College Graduate or above,1
74142,"35,000 to 44,999",Male,61,9th-11th Grade,3
74143,"100,000 and Over",Male,30,College Graduate or above,4
74144,"75,000 to 99,999",Male,51,<9th Grade,3
74146," 5,000 to  9,999",Male,50,<9th Grade,2
74147,"15,000 to 19,999",Female,79,High School Grad/GED or equivalent,2
74148,"20,000 to 24,999",Female,42,Some College or AA degree,2
74149," 5,000 to  9,999",Female,54,9th-11th Grade,1
74150,"75,000 to 99,999",Female,20,High School Grad/GED or equivalent,7
74152," 5,000 to  9,999",Female,74,9th-11th Grade,1
74153,Refused,Female,59,Some College or AA degree,2
74154,"45,000 to 54,999",Female,52,Some College or AA degree,3
74155,"15,000 to 19,999",Female,20,9th-11th Grade,3
74158,"25,000 to 34,999",Female,19,High School Grad/GED or equivalent,6
74159,"100,000 and Over",Male,32,College Graduate or above,2
74160,"75,000 to 99,999",Female,66,High School Grad/GED or equivalent,4
74162,,Female,19,Some College or AA degree,5
74164,"25,000 to 34,999",Female,38,<9th Grade,3
74166," 5,000 to  9,999",Female,28,College Graduate or above,5
74169,"45,000 to 54,999",Male,22,9th-11th Grade,3
74170,"100,000 and Over",Male,56,College Graduate or above,1
74172,"25,000 to 34,999",Female,33,College Graduate or above,3
74173,"20,000 to 24,999",Female,43,College Graduate or above,3
74175," 5,000 to  9,999",Female,80,Some College or AA degree,1
74176,"15,000 to 19,999",Female,51,Some College or AA degree,6
74178,"100,000 and Over",Female,53,College Graduate or above,2
74180,"55,000 to 64,999",Female,63,College Graduate or above,2
74181,"25,000 to 34,999",Male,38,Some College or AA degree,3
74184,"100,000 and Over",Female,55,,3
74186,"35,000 to 44,999",Female,29,9th-11th Grade,5
74187,"20,000 and Over",Female,23,High School Grad/GED or equivalent,6
74188,Refused,Male,80,College Graduate or above,1
74190,"45,000 to 54,999",Female,56,Some College or AA degree,2
74191,,Female,39,Some College or AA degree,3
74193,"10,000 to 14,999",Female,66,High School Grad/GED or equivalent,1
74195,"20,000 to 24,999",Female,26,High School Grad/GED or equivalent,5
74196,"100,000 and Over",Female,36,Some College or AA degree,3
74197,"15,000 to 19,999",Male,26,High School Grad/GED or equivalent,3
74198,"35,000 to 44,999",Female,66,High School Grad/GED or equivalent,1
74199,,Female,22,Some College or AA degree,3
74201,"10,000 to 14,999",Female,25,Some College or AA degree,3
74202,"75,000 to 99,999",Male,59,Some College or AA degree,2
74203,"20,000 to 24,999",Female,51,Some College or AA degree,2
74205,"100,000 and Over",Male,65,College Graduate or above,7
74207,"55,000 to 64,999",Female,32,Some College or AA degree,3
74211,"15,000 to 19,999",Female,74,<9th Grade,3
74214,"100,000 and Over",Female,47,College Graduate or above,5
74219,"100,000 and Over",Male,74,College Graduate or above,3
74221,Refused,Female,34,High School Grad/GED or equivalent,7
74222,"20,000 to 24,999",Male,45,9th-11th Grade,2
74224,"20,000 to 24,999",Male,66,High School Grad/GED or equivalent,3
74225,"20,000 to 24,999",Female,67,High School Grad/GED or equivalent,1
74226,,Female,20,Some College or AA degree,2
74227,"10,000 to 14,999",Female,78,High School Grad/GED or equivalent,1
74230,"55,000 to 64,999",Male,44,<9th Grade,3
74231,"25,000 to 34,999",Female,67,9th-11th Grade,1
74232,"25,000 to 34,999",Female,29,College Graduate or above,5
74233,"20,000 to 24,999",Female,19,Some College or AA degree,2
74235,"45,000 to 54,999",Female,27,Some College or AA degree,2
74237,"100,000 and Over",Female,51,College Graduate or above,2
74239,"100,000 and Over",Female,35,College Graduate or above,3
74240,"45,000 to 54,999",Female,74,College Graduate or above,1
74241,"45,000 to 54,999",Male,72,Some College or AA degree,2
74243,"45,000 to 54,999",Female,33,Some College or AA degree,4
74246,"10,000 to 14,999",Female,71,College Graduate or above,1
74247,"75,000 to 99,999",Male,74,High School Grad/GED or equivalent,2
74251,"20,000 to 24,999",Male,20,9th-11th Grade,4
74252,"45,000 to 54,999",Female,18,Some College or AA degree,6
74253,"25,000 to 34,999",Male,77,High School Grad/GED or equivalent,2
74254,"100,000 and Over",Male,71,College Graduate or above,6
74259,"35,000 to 44,999",Female,39,Some College or AA degree,4
74260,"10,000 to 14,999",Female,52,Some College or AA degree,3
74262," 5,000 to  9,999",Female,70,High School Grad/GED or equivalent,1
74264,"20,000 to 24,999",Female,46,9th-11th Grade,4
74265,"10,000 to 14,999",Female,36,Some College or AA degree,4
74268," 5,000 to  9,999",Female,62,Some College or AA degree,2
74270,"100,000 and Over",Female,51,College Graduate or above,3
74275,"75,000 to 99,999",Female,29,,3
74276,"15,000 to 19,999",Female,62,High School Grad/GED or equivalent,2
74278,"100,000 and Over",Female,42,College Graduate or above,7
74279,"25,000 to 34,999",Female,21,Some College or AA degree,2
74280,"20,000 and Over",Female,80,College Graduate or above,2
74281,"65,000 to 74,999",Male,27,College Graduate or above,2
74282,"25,000 to 34,999",Female,23,Some College or AA degree,3
74283,"45,000 to 54,999",Female,49,<9th Grade,2
74284,"45,000 to 54,999",Male,58,9th-11th Grade,7
74285,"100,000 and Over",Female,30,College Graduate or above,6
74287,"55,000 to 64,999",Male,60,High School Grad/GED or equivalent,2
74290,"65,000 to 74,999",Male,48,College Graduate or above,5
74292,"10,000 to 14,999",Female,63,High School Grad/GED or equivalent,1
74293,"55,000 to 64,999",Female,27,College Graduate or above,1
74294,"15,000 to 19,999",Female,44,High School Grad/GED or equivalent,4
74295,"35,000 to 44,999",Male,26,College Graduate or above,1
74296,"100,000 and Over",Male,26,Some College or AA degree,2
74298,"25,000 to 34,999",Female,80,High School Grad/GED or equivalent,2
74300,"100,000 and Over",Male,46,College Graduate or above,1
74301,"100,000 and Over",Female,50,College Graduate or above,2
74302,"75,000 to 99,999",Male,62,Some College or AA degree,4
74304,"10,000 to 14,999",Male,80,Some College or AA degree,2
74305,"25,000 to 34,999",Male,71,Some College or AA degree,4
74306,"25,000 to 34,999",Male,62,College Graduate or above,5
74310,"75,000 to 99,999",Female,60,High School Grad/GED or equivalent,2
74312,"10,000 to 14,999",Male,22,College Graduate or above,1
74313,"15,000 to 19,999",Female,80,High School Grad/GED or equivalent,2
74314,"100,000 and Over",Male,50,College Graduate or above,5
74317,"65,000 to 74,999",Male,33,College Graduate or above,4
74318,"55,000 to 64,999",Female,52,Some College or AA degree,3
74319," 5,000 to  9,999",Female,68,College Graduate or above,1
74322,"75,000 to 99,999",Male,18,High School Grad/GED or equivalent,7
74323,"75,000 to 99,999",Female,27,High School Grad/GED or equivalent,3
74324,"25,000 to 34,999",Female,79,Some College or AA degree,2
74328,"55,000 to 64,999",Male,44,<9th Grade,4
74329,,Male,46,<9th Grade,2
74331,"25,000 to 34,999",Male,33,High School Grad/GED or equivalent,5
74332,"35,000 to 44,999",Female,18,Some College or AA degree,4
74338,"55,000 to 64,999",Male,43,College Graduate or above,1
74340,"100,000 and Over",Male,41,College Graduate or above,2
74341,"55,000 to 64,999",Male,60,Some College or AA degree,1
